0.504229	,-0.159119	,-1.38246	,-0.627414	,0.0715499	,-2.4955	,
0.497521	,-0.157925	,-1.38896	,-0.63136	,0.0719999	,-2.5112	,
0.490813	,-0.15673	,-1.39546	,-0.635306	,0.0724499	,-2.52689	,
0.484105	,-0.155536	,-1.40196	,-0.639252	,0.0728999	,-2.54259	,
0.477397	,-0.154341	,-1.40846	,-0.643198	,0.0733499	,-2.55828	,
0.470689	,-0.153146	,-1.41496	,-0.647144	,0.0737999	,-2.57398	,
0.463981	,-0.151952	,-1.42146	,-0.65109	,0.0742499	,-2.58967	,
0.457273	,-0.150757	,-1.42796	,-0.655036	,0.0746999	,-2.60537	,
0.450565	,-0.149563	,-1.43445	,-0.658982	,0.0751499	,-2.62106	,
0.443857	,-0.148368	,-1.44095	,-0.662928	,0.0755999	,-2.63676	,
0.437149	,-0.147173	,-1.44745	,-0.666874	,0.0760499	,-2.65245	,
0.430441	,-0.145979	,-1.45395	,-0.67082	,0.0764999	,-2.66815	,
0.423733	,-0.144784	,-1.46045	,-0.674766	,0.0769499	,-2.68384	,
0.417025	,-0.143589	,-1.46695	,-0.678712	,0.0773999	,-2.69954	,
0.410317	,-0.142395	,-1.47345	,-0.682658	,0.0778499	,-2.71523	,
0.403609	,-0.1412	,-1.47995	,-0.686604	,0.0782999	,-2.73093	,
0.396901	,-0.140006	,-1.48645	,-0.69055	,0.0787499	,-2.74662	,
0.390193	,-0.138811	,-1.49295	,-0.694496	,0.0791999	,-2.76232	,
0.383485	,-0.137616	,-1.49945	,-0.698442	,0.0796499	,-2.77801	,
0.376777	,-0.136422	,-1.50595	,-0.702388	,0.0800999	,-2.79371	,
0.370069	,-0.135227	,-1.51245	,-0.706334	,0.0805499	,-2.8094	,
0.363361	,-0.134033	,-1.51895	,-0.71028	,0.0809999	,-2.8251	,
0.356653	,-0.132838	,-1.52545	,-0.714226	,0.0814499	,-2.84079	,
0.349945	,-0.131643	,-1.53194	,-0.718172	,0.0818999	,-2.85649	,
0.343237	,-0.130449	,-1.53844	,-0.722118	,0.0823499	,-2.87218	,
0.336529	,-0.129254	,-1.54494	,-0.726064	,0.0827999	,-2.88788	,
0.329821	,-0.128059	,-1.55144	,-0.73001	,0.0832499	,-2.90357	,
0.323113	,-0.126865	,-1.55794	,-0.733956	,0.0836999	,-2.91927	,
0.316405	,-0.12567	,-1.56444	,-0.737902	,0.0841499	,-2.93496	,
0.309697	,-0.124476	,-1.57094	,-0.741848	,0.0845999	,-2.95066	,
0.302989	,-0.123281	,-1.57744	,-0.745794	,0.0850499	,-2.96635	,
0.296281	,-0.122086	,-1.58394	,-0.74974	,0.0854999	,-2.98205	,
0.289573	,-0.120892	,-1.59044	,-0.753686	,0.0859499	,-2.99774	,
0.282865	,-0.119697	,-1.59694	,-0.757632	,0.0863999	,-3.01344	,
0.276157	,-0.118503	,-1.60344	,-0.761578	,0.0868499	,-3.02913	,
0.269449	,-0.117308	,-1.60994	,-0.765524	,0.0872999	,-3.04483	,
0.262741	,-0.116113	,-1.61644	,-0.769469	,0.0877499	,-3.06052	,
0.256033	,-0.114919	,-1.62294	,-0.773415	,0.0881999	,-3.07622	,
0.249325	,-0.113724	,-1.62943	,-0.777361	,0.0886499	,-3.09191	,
0.242617	,-0.112529	,-1.63593	,-0.781307	,0.0890999	,-3.10761	,
0.235909	,-0.111335	,-1.64243	,-0.785253	,0.0895499	,-3.1233	,
0.229201	,-0.11014	,-1.64893	,-0.789199	,0.0899999	,-3.139	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
